id,title,agency,case_group,declared_location,declared_date,title_places,body_places,flags,severity
dow-069-dow-uap-pr37-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR37, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Arabian Gulf,N/A,Middle East,Arabian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-070-dow-uap-pr38-unresolved-uap-report-middle-east-2013,"DOW-UAP-PR38, Unresolved UAP Report, Middle East, 2013",DoW,DOW/PR-series,Middle East,N/A,Middle East,Middle East,DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2013,LOW
dow-071-dow-uap-pr39-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR39, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Arabian Gulf,N/A,Middle East,Arabian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-072-dow-uap-pr40-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR40, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Arabian Gulf,N/A,Middle East,Arabian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-073-dow-uap-pr41-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR41, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Arabian Gulf,N/A,Middle East,Arabian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-074-dow-uap-pr42-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR42, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Arabian Gulf,N/A,Middle East,Arabian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-075-dow-uap-pr43-unresolved-uap-report-africa-2025,"DOW-UAP-PR43, Unresolved UAP Report, Africa, 2025",DoW,DOW/PR-series,Djibouti,N/A,,Djibouti,DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2025,LOW
dow-076-dow-uap-pr44-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR44, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Arabian Gulf,N/A,Middle East,Arabian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-077-dow-uap-pr45-unresolved-uap-report-middle-east-2020,"DOW-UAP-PR45, Unresolved UAP Report, Middle East, 2020",DoW,DOW/PR-series,Southern United States,N/A,Middle East,Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Southern United States | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-078-dow-uap-pr46-unresolved-uap-report-indopacom-2024,"DOW-UAP-PR46, Unresolved UAP Report, INDOPACOM, 2024",DoW,DOW/PR-series,East China Sea,N/A,Indo-PACOM,East China Sea; Pacific Ocean; China; Indo-PACOM,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Indo-PACOM, declared=East China Sea | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2024",HIGH
