id,title,agency,case_group,declared_location,declared_date,title_places,body_places,flags,severity
dow-001-18-100754-general-1946-7-vol-2,18_100754_ General 1946-7_Vol_2,DoW,other,N/A,12/30/47,,Germany; Spain; Mexico; California; New Mexico; Washington (state); North America,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Spain, Mexico, California, New Mexico",LOW
dow-002-18-6369445-general-1948-vol-1,18_6369445_General_1948_Vol_1,DoW,other,N/A,6/15/48,,Pacific Ocean; Canada; Wright-Patterson AFB; Texas; California; Florida; New York; Washington (state),"DECLARED_NA_BUT_BODY_HAS_PLACES: Canada, Wright-Patterson AFB, Texas, California, Florida",LOW
dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,DoW,other,Germany,3/18/45,,Germany; California,,
dow-004-341-110448-records-relating-to-the-collection-and-disseminat,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,DoW,other,Netherlands,11/8/48,,Netherlands; Washington (state),"TITLE_DATE_VS_DECLARED_DATE: title year=1955, declared=11/8/48",HIGH
dow-005-341-110677-numerical-file-5-2500,"341_110677_Numerical_File,_5-2500",DoW,other,Azerbaijan,10/14/55,,Azerbaijan,,
dow-006-342-hs1-416511228-319-1-flying-discs-1949,342_HS1-416511228_319.1 Flying Discs 1949,DoW,other,N/A,1/9/50,,Oman; Pacific Ocean; Japan; China; Canada; Wright-Patterson AFB; Texas; California,"DECLARED_NA_BUT_BODY_HAS_PLACES: Oman, Japan, China, Canada, Wright-Patterson AFB",LOW
dow-007-38-143685-box-incident-summaries-101-172,38_143685_box_Incident_Summaries_101-172,DoW,DoW/Incident-Summaries-143685,N/A,N/A,,United Arab Emirates; Jordan; Turkey; Pacific Ocean; Atlantic Ocean; United Kingdom; Norway; Sweden,"DECLARED_NA_BUT_BODY_HAS_PLACES: United Arab Emirates, Jordan, Turkey, United Kingdom, Norway",LOW
dow-008-38-143685-box-incident-summaries-173-233,38_143685_box_Incident_Summaries_173-233,DoW,DoW/Incident-Summaries-143685,N/A,N/A,,Germany; Mexico; Wright-Patterson AFB; Andrews AFB; Texas; Arizona; New Mexico; Florida,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Mexico, Wright-Patterson AFB, Andrews AFB, Texas",LOW
dow-009-38-143685-box7-incident-summaries-1-100,38_143685_box7_Incident_Summaries_1-100,DoW,DoW/Incident-Summaries-143685,N/A,N/A,,Pacific Ocean; Atlantic Ocean; Germany; Finland; Texas; California; Arizona; Nevada,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Finland, Texas, California, Arizona",LOW
dow-010-dow-uap-d10-mission-report-middle-east-may-2022,"DOW-UAP-D10, Mission Report, Middle East, May 2022",DoW,DOW/D-series,Iraq,5/6/22,Middle East,Iraq; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Iraq",HIGH
dow-011-dow-uap-d12-mission-report-iraq-may-2022,"DOW-UAP-D12, Mission Report, Iraq, May 2022",DoW,DOW/D-series,Iraq,5/20/22,Iraq,Iraq,,
dow-012-dow-uap-d14-mission-report-iraq-may-2022,"DOW-UAP-D14, Mission Report, Iraq, May 2022",DoW,DOW/D-series,Syria,5/29/22,Iraq,Iraq; Syria; Israel; Lebanon; Mediterranean Sea; New Mexico; Florida,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Iraq, declared=Syria",HIGH
dow-013-dow-uap-d16-mission-report-syria-july-2022,"DOW-UAP-D16, Mission Report, Syria, July 2022",DoW,DOW/D-series,Syria,7/31/22,Syria,Syria; Arizona; Florida,,
dow-014-dow-uap-d18-mission-report-iraq-december-2022,"DOW-UAP-D18, Mission Report, Iraq, December 2022",DoW,DOW/D-series,Iraq,12/1/22,Iraq,Iraq,,
dow-015-dow-uap-d19-mission-report-syria-february-21-2023,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",DoW,DOW/D-series,Syria,2/21/23,Syria,Syria; Turkey; Florida,,
dow-016-dow-uap-d20-mission-report-iraq-2023,"DOW-UAP-D20, Mission Report, Iraq, 2023",DoW,DOW/D-series,Iraq,3/31/23,Iraq,Iraq,,
dow-017-dow-uap-d23-mission-report-united-arab-emirates-october-2023,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",DoW,DOW/D-series,Persian Gulf,10/31/23,United Arab Emirates,United Arab Emirates; Persian Gulf,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=United Arab Emirates, declared=Persian Gulf",HIGH
dow-018-dow-uap-d23-mission-report-united-arab-emirates-october-2023,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",DoW,DOW/D-series,Persian Gulf,10/31/23,United Arab Emirates,United Arab Emirates; Persian Gulf,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=United Arab Emirates, declared=Persian Gulf",HIGH
dow-019-dow-uap-d25-mission-report-greece-january-2024,"DOW-UAP-D25, Mission Report, Greece, January 2024",DoW,DOW/D-series,Mediterranean Sea,1/25/24,Greece,Mediterranean Sea; Greece; CENTCOM,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Greece, declared=Mediterranean Sea",HIGH
dow-020-dow-uap-d27-mission-report-united-arab-emirates-october-2023,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",DoW,DOW/D-series,Gulf of Oman,6/7/24,United Arab Emirates,Oman; United Arab Emirates; Gulf of Oman; CENTCOM,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=United Arab Emirates, declared=Oman",HIGH
dow-021-dow-uap-d28-mission-report-iraq-september-2024,"DOW-UAP-D28, Mission Report, Iraq, September 2024",DoW,DOW/D-series,Iraq,9/20/24,Iraq,Iraq; China; CENTCOM,,
dow-022-dow-uap-d3-mission-report-arabian-gulf-2020,"DOW-UAP-D3, Mission Report, Arabian Gulf, 2020",DoW,DOW/D-series,N/A,N/A,Arabian Gulf,Arabian Gulf,TITLE_HAS_PLACE_DECLARED_NA: Arabian Gulf | DECLARED_NA_BUT_BODY_HAS_PLACES: Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020,MEDIUM
dow-023-dow-uap-d32-mission-report-syria-october-2024,"DOW-UAP-D32, Mission Report, Syria, October 2024",DoW,DOW/D-series,Syria,10/20/24,Syria,Syria,,
dow-024-dow-uap-d32-mission-report-syria-october-2024,"DOW-UAP-D32, Mission Report, Syria, October 2024",DoW,DOW/D-series,Syria,10/20/24,Syria,Syria,,
dow-025-dow-uap-d32-mission-report-syria-october-2024,"DOW-UAP-D32, Mission Report, Syria, October 2024",DoW,DOW/D-series,Syria,10/20/24,Syria,Syria,,
dow-026-dow-uap-d33-mission-report-greece-october-2023,"DOW-UAP-D33, Mission Report, Greece, October 2023",DoW,DOW/D-series,Aegean Sea,10/27/23,Greece,Aegean Sea; Greece,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Greece, declared=Aegean Sea",HIGH
dow-027-dow-uap-d35-mission-report-greece-october-2023,"DOW-UAP-D35, Mission Report, Greece, October 2023",DoW,DOW/D-series,Aegean Sea,10/29/23,Greece,Aegean Sea; Greece,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Greece, declared=Aegean Sea",HIGH
dow-028-dow-uap-d38-range-fouler-debrief-middle-east-may-2020,"DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020",DoW,DOW/D-series,Persian Gulf,5/14/20,Middle East,Persian Gulf; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Persian Gulf",HIGH
dow-029-dow-uap-d4-mission-report-arabian-gulf-2020,"DOW-UAP-D4, Mission Report, Arabian Gulf, 2020",DoW,DOW/D-series,N/A,N/A,Arabian Gulf,Arabian Gulf,TITLE_HAS_PLACE_DECLARED_NA: Arabian Gulf | DECLARED_NA_BUT_BODY_HAS_PLACES: Arabian Gulf | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020,MEDIUM
dow-030-dow-uap-d42-range-fouler-debrief-japan-2023,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",DoW,DOW/D-series,Arabian Gulf,8/31/20,Japan,Arabian Gulf; Japan; Florida,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Japan, declared=Arabian Gulf | TITLE_DATE_VS_DECLARED_DATE: title year=2023, declared=8/31/20",HIGH
dow-031-dow-uap-d44-range-fouler-reporting-form-gulf-of-aden-october,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",DoW,DOW/D-series,Arabian Sea,10/15/20,Gulf of Aden,Gulf of Aden; Arabian Sea,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Gulf of Aden, declared=Arabian Sea",HIGH
dow-032-dow-uap-d48-department-of-the-air-force-report-1996,"DOW-UAP-D48, Department of the Air Force Report, 1996",DoW,DOW/D-series,N/A,9/10/96,,Atlantic Ocean; Japan; Vandenberg AFB; California; New Mexico; Florida; Washington (state); Moon,"DECLARED_NA_BUT_BODY_HAS_PLACES: Japan, Vandenberg AFB, California, New Mexico, Florida",LOW
dow-033-dow-uap-d49-launch-summary-vandenberg-afb-2000,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",DoW,DOW/D-series,N/A,2/3/00,Vandenberg AFB,United Kingdom; Korea; Georgia (country); Vandenberg AFB; Edwards AFB; California; Florida; Moon,"TITLE_HAS_PLACE_DECLARED_NA: Vandenberg AFB | DECLARED_NA_BUT_BODY_HAS_PLACES: United Kingdom, Korea, Georgia (country), Vandenberg AFB, Edwards AFB",MEDIUM
dow-034-dow-uap-d5-mission-report-arabian-gulf-2020,"DOW-UAP-D5, Mission Report, Arabian Gulf, 2020",DoW,DOW/D-series,Mediterranean Sea,N/A,Arabian Gulf,Arabian Gulf; Mediterranean Sea,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Arabian Gulf, declared=Mediterranean Sea | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-035-dow-uap-d50-email-correspondence-indopacom-april-2025,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",DoW,DOW/D-series,N/A,4/10/2025-4/11/2025,Indo-PACOM,Indo-PACOM,TITLE_HAS_PLACE_DECLARED_NA: Indo-PACOM,MEDIUM
dow-036-dow-uap-d51-email-correspondence-pacific-time-zone-march-202,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",DoW,DOW/D-series,Pacific Time Zone,3/23/26,Pacific Ocean,Pacific Ocean,"TITLE_DATE_VS_DECLARED_DATE: title year=2023, declared=3/23/26",HIGH
dow-037-dow-uap-d52-email-correspondance-na-august-2024,"DOW-UAP-D52, Email Correspondance, NA, August 2024",DoW,DOW/D-series,N/A,10/31/24,,,,
dow-038-dow-uap-d54-mission-report-mediterranean-sea-na,"DOW-UAP-D54, Mission Report, Mediterranean Sea, NA",DoW,DOW/D-series,Mediterranean Sea,N/A,Mediterranean Sea,Mediterranean Sea,,
dow-039-dow-uap-d55-mission-report-syria-november-2016,"DOW-UAP-D55, Mission Report, Syria, November 2016",DoW,DOW/D-series,Syria,11/18/16,Syria,Syria; Mediterranean Sea; New Mexico,,
dow-040-dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",DoW,DOW/D-series,Arabian Sea,8/24/20,Arabian Sea,Arabian Sea,,
dow-041-dow-uap-d57-range-fouler-reporting-form-gulf-of-aden-septemb,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",DoW,DOW/D-series,Gulf of Aden,9/4/20,Gulf of Aden,Gulf of Aden; New Mexico,,
dow-042-dow-uap-d58-range-fouler-debrief-na-october-2020,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",DoW,DOW/D-series,N/A,10/27/20,,,,
dow-043-dow-uap-d6-mission-report-arabian-gulf-2020,"DOW-UAP-D6, Mission Report, Arabian Gulf, 2020",DoW,DOW/D-series,Pacific Ocean,N/A,Arabian Gulf,Arabian Gulf; Pacific Ocean,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Arabian Gulf, declared=Pacific Ocean | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2020",HIGH
dow-044-dow-uap-d60-mission-report-persian-gulf-august-2020,"DOW-UAP-D60, Mission Report, Persian Gulf, August 2020",DoW,DOW/D-series,Persian Gulf,8/8/20,Persian Gulf,Oman; Persian Gulf; Arabian Gulf; Strait of Hormuz; Gulf of Oman; Florida,,
dow-045-dow-uap-d61-mission-report-persian-gulf-august-2020,"DOW-UAP-D61, Mission Report, Persian Gulf, August 2020",DoW,DOW/D-series,Persian Gulf,8/27/20,Persian Gulf,Oman; Persian Gulf; Arabian Gulf; Strait of Hormuz; Gulf of Oman,,
dow-046-dow-uap-d62-mission-report-strait-of-hormuz-september-2020,"DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020",DoW,DOW/D-series,Strait of Hormuz,9/16/20,Strait of Hormuz,Oman; Arabian Gulf; Strait of Hormuz; Gulf of Oman; Florida,,
dow-047-dow-uap-d63-mission-report-strait-of-hormuz-october-2020,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",DoW,DOW/D-series,Strait of Hormuz,10/1/20,Strait of Hormuz,Oman; Arabian Gulf; Strait of Hormuz; Gulf of Oman; Florida,,
