sort_date,incident_date_raw,id,type,agency,title,incident_location,summary_short
1972-01-01,1972,nasa-005-nasa-uap-d2-apollo-17-transcript-1972,pdf,NASA,"NASA-UAP-D2, Apollo 17 Transcript, 1972",Moon,"Apollo 17 was the ninth crewed U.S. mission to the Moon, and the sixth to land astronauts on the lunar surface. This document is an excerpt from the Apollo 17 Technical Air-to-Ground Voice Transcripti"
1972-01-01,1972,nasa-015-nasa-uap-vm6-apollo-17-1972,image,NASA,"NASA-UAP-VM6, Apollo 17, 1972",Moon,"As part of the review of historical UAP materials under PURSUE, DOW has opened a case to investigate the accompanying NASA photograph from the Apollo 17 mission, taken December 1972. The image contain"
1973-01-01,1973,nasa-007-nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973,pdf,NASA,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",N/A,"Apollo 17 was the ninth crewed U.S. mission to the Moon, and the sixth to land Astronauts on the lunar surface. This document is an excerpt from the Apollo 17 Crew Debriefing for Science on January 8,"
1973-01-01,1973,nasa-008-nasa-uap-d6-apollo-17-technical-crew-debriefing-1973,pdf,NASA,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",N/A,"Apollo 17 was the ninth crewed U.S. mission to the Moon, and the sixth to land Astronauts on the lunar surface. This document is an excerpt from the Apollo 17 Technical Crew Debriefing on January 4, 1"
1973-01-01,1973,nasa-009-nasa-uap-d7-skylab-techincal-crew-debriefing-1973,pdf,NASA,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",N/A,"Launched on May 14, 1973, Skylab was the United States’ first laboratory in space. From 1973 to 1974, the station was visited by three crews. This document contains excerpts from all three crews to vi"
1985-01-24,1/24/85,state-003-state-department-uap-cable-1-papua-new-guinea-january-28-198,pdf,State,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Papua New Guinea,"This document is a U.S. Department of State diplomatic cable from the U.S. Embassy in Port Moresby, Papua New Guinea to USCINCPAC (United States Indo-Pacific Command) at Honolulu, HI on January 28, 19"
1994-01-27,1/27/94,state-004-state-department-uap-cable-2-kazakhstan-january-31-1994,pdf,State,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Kazakhstan,"This document is a U.S. Department of State diplomatic cable from the U.S. Embassy in Dushanbe, Tajikistan to the Secretary of State in Washington, D.C. on January 31, 1994. On January 27, 1994 one Ta"
1996-09-10,9/10/96,dow-032-dow-uap-d48-department-of-the-air-force-report-1996,pdf,DoW,"DOW-UAP-D48, Department of the Air Force Report, 1996",N/A,"This report describes the Modeling of Unlikely Space-Booster Failures in Risk Calculations, documenting historical launch failure modes and recommending corrective actions to address them using novel "
2000-02-03,2/3/00,dow-033-dow-uap-d49-launch-summary-vandenberg-afb-2000,pdf,DoW,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",N/A,This report summarizes the historical record of launches occurring at Vandenberg Air Force Base between 1958 and 2000.
2001-01-01,10/28/2001-10/29/2001,state-005-state-department-uap-cable-3-tbilisi-georgia-october-30-2001,pdf,State,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Georgia,"On October 28-29, there was an incident alleged by the Georgian Foreign Ministry that Russian aircraft had violated Georgian airspace and bombed areas of the Kodori Gorge.  Russians denied any of the "
